Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
ARGFX,ENSG00000186103,0.7848291691651865,0.2151708308348134,3,
SERTAD2,ENSG00000179833,0.7848296649339893,0.2151703350660106,2,
INSL4,ENSG00000120211,0.7848387438992721,0.2151612561007279,9,
HOXD10,ENSG00000128710,0.7848627968224513,0.2151372031775487,2,
GBGT1,ENSG00000148288,0.7848700303642053,0.2151299696357946,9,
PDCD5,ENSG00000105185,0.7849558812558398,0.2150441187441601,19,
CELA1,ENSG00000139610,0.7849868816813219,0.2150131183186781,12,
RAP2C,ENSG00000123728,0.78507358157513,0.21492641842487,X,
SNX24,ENSG00000064652,0.78508350698658,0.2149164930134199,5,
CNTNAP2,ENSG00000174469,0.7850888319787422,0.2149111680212578,7,2.0
CCDC32,ENSG00000128891,0.7850959871591741,0.2149040128408259,15,
DBX1,ENSG00000109851,0.7851504055648354,0.2148495944351646,11,
PABPC1L2A,ENSG00000186288,0.7851530542763372,0.2148469457236628,X,
PCGF5,ENSG00000180628,0.7851951418849146,0.2148048581150854,10,
NUDT13,ENSG00000166321,0.7851992341274932,0.2148007658725068,10,
TBC1D19,ENSG00000109680,0.7852405357265254,0.2147594642734746,4,
DNMT1,ENSG00000130816,0.7852771487801201,0.2147228512198798,19,
HIPK2,ENSG00000064393,0.7853456595988018,0.2146543404011982,7,
ZC3H12D,ENSG00000178199,0.7854420264873484,0.2145579735126516,6,
NR6A1,ENSG00000148200,0.7854600369305238,0.2145399630694761,9,
ANKRD30A,ENSG00000148513,0.78546150913301,0.2145384908669899,10,
VAMP8,ENSG00000118640,0.7854627024210352,0.2145372975789648,2,
CYCS,ENSG00000172115,0.7854945500601926,0.2145054499398073,7,
ARMC8,ENSG00000114098,0.7855500077066231,0.2144499922933768,3,
OR7C1,ENSG00000127530,0.785561075779271,0.2144389242207289,19,
SLC2A5,ENSG00000142583,0.7855715070333974,0.2144284929666025,1,
PITPNC1,ENSG00000154217,0.7856069446909782,0.2143930553090217,17,
LY9,ENSG00000122224,0.7856606706016386,0.2143393293983614,1,
POLK,ENSG00000122008,0.785690270684774,0.2143097293152259,5,
CIDEC,ENSG00000187288,0.7856978365873063,0.2143021634126937,3,
OR6T1,ENSG00000181499,0.785744065348817,0.214255934651183,11,
RNF113B,ENSG00000139797,0.7857537762763341,0.2142462237236659,13,
SCRIB,ENSG00000180900,0.7857905885757492,0.2142094114242507,8,
CLDN19,ENSG00000164007,0.785813949612381,0.214186050387619,1,
ST8SIA2,ENSG00000140557,0.785859629286408,0.214140370713592,15,2.0
PHOX2B,ENSG00000109132,0.7858610762045641,0.2141389237954358,4,
SALL3,ENSG00000256463,0.7858625912909555,0.2141374087090445,18,
C14orf119,ENSG00000179933,0.7858646576658803,0.2141353423341197,14,
COX7A2,ENSG00000112695,0.7858820746594404,0.2141179253405596,6,
MN1,ENSG00000169184,0.7859431525091274,0.2140568474908726,22,
DMAC2L,ENSG00000125375,0.7859845150475664,0.2140154849524336,14,
PRKCA,ENSG00000154229,0.7859860996142275,0.2140139003857725,17,2.0
ZFP3,ENSG00000180787,0.7860319006254599,0.2139680993745401,17,
PLXDC1,ENSG00000161381,0.7860325025695885,0.2139674974304116,17,
SLX4,ENSG00000188827,0.7860437153191222,0.2139562846808777,16,
MX1,ENSG00000157601,0.7860640244876413,0.2139359755123586,21,
ZFP90,ENSG00000184939,0.7861460616966668,0.2138539383033331,16,
MTRF1,ENSG00000120662,0.7861693585448928,0.2138306414551072,13,
THOC3,ENSG00000051596,0.7862179996026123,0.2137820003973876,5,
CERS4,ENSG00000090661,0.7862265367299435,0.2137734632700565,19,
HSDL2,ENSG00000119471,0.7862682665418339,0.2137317334581661,9,
ADCY8,ENSG00000155897,0.7862755853968969,0.2137244146031031,8,
PP2D1,ENSG00000183977,0.7863133700626261,0.2136866299373738,3,
SRPK3,ENSG00000184343,0.7863855013655889,0.213614498634411,X,
EPPIN,ENSG00000101448,0.7864051414494481,0.2135948585505519,20,
EIF2AK4,ENSG00000128829,0.7864438374001793,0.2135561625998206,15,
NIM1K,ENSG00000177453,0.786450683440185,0.2135493165598149,5,
ING5,ENSG00000168395,0.7864540457093843,0.2135459542906158,2,
NUB1,ENSG00000013374,0.7864565994294761,0.2135434005705238,7,
