Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
GJB4,ENSG00000189433,0.9729877147276385,0.0270122852723617,1,
KLK7,ENSG00000169035,0.9729940218566032,0.0270059781433969,19,
HLA-DMB,ENSG00000242574,0.9730027406052008,0.0269972593947993,6,
OR4C11,ENSG00000172188,0.9730053334244578,0.026994666575542,11,
CLEC4C,ENSG00000198178,0.973036017781746,0.0269639822182541,12,
ACSM6,ENSG00000173124,0.9730617984312528,0.0269382015687472,10,
CCL7,ENSG00000108688,0.9731189598536436,0.0268810401463562,17,
CCN3,ENSG00000136999,0.9731295817268468,0.026870418273153,8,
TMPRSS4,ENSG00000137648,0.9731424487710998,0.0268575512289002,11,
DOK3,ENSG00000146094,0.9731590100601268,0.0268409899398732,5,
FAM90A9,ENSG00000285607,0.97320309992036,0.0267969000796399,8,
BTN3A3,ENSG00000111801,0.9732257176432392,0.026774282356761,6,
OR4F5,ENSG00000186092,0.9732278117883452,0.0267721882116547,1,
,ENSG00000284969,0.9732437205052716,0.0267562794947284,11,
PVRIG,ENSG00000213413,0.973250976530389,0.0267490234696109,7,
B3GALT4,ENSG00000235863,0.9732838947045052,0.0267161052954944,6,
GSTZ1,ENSG00000100577,0.9732884766659864,0.0267115233340135,14,
OR10A4,ENSG00000170782,0.973294986114282,0.0267050138857178,11,
CMC4,ENSG00000182712,0.9733121353210852,0.0266878646789149,X,
KCNJ16,ENSG00000153822,0.9733182565358008,0.026681743464199,17,
OR2A2,ENSG00000221989,0.973321445071766,0.0266785549282339,7,
ERICH4,ENSG00000204978,0.9733626074817668,0.0266373925182332,19,
ORM2,ENSG00000228278,0.9733654037353368,0.0266345962646631,9,
GPR183,ENSG00000169508,0.9733661130735414,0.0266338869264586,13,
ADAMTS13,ENSG00000160323,0.9733732591049716,0.0266267408950284,9,
EPPIN-WFDC6,ENSG00000249139,0.9733744093672784,0.0266255906327215,20,
EGFL7,ENSG00000172889,0.9733765786422208,0.0266234213577793,9,
