Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
PM20D2,ENSG00000146281,0.9485722,0.051427804,6,
PRRX2,ENSG00000167157,0.94857764,0.051422328,9,
TGIF1,ENSG00000177426,0.94859564,0.05140436,18,
CALU,ENSG00000128595,0.94862324,0.05137678,7,
CDK9,ENSG00000136807,0.9486628,0.051337205,9,
IGSF9B,ENSG00000080854,0.948693,0.051307023,11,
SFMBT1,ENSG00000163935,0.9486994,0.051300596,3,
ZNF526,ENSG00000167625,0.9487958,0.05120423,19,
USP31,ENSG00000103404,0.9488487,0.0511513,16,
INTS8,ENSG00000164941,0.94887793,0.05112206,8,
SYNPO2,ENSG00000172403,0.9489346,0.05106538,4,
TBC1D17,ENSG00000104946,0.9489601,0.051039852,19,
TCTE1,ENSG00000146221,0.94896257,0.051037427,6,
EMX1,ENSG00000135638,0.9489629,0.051037095,2,
DDX60,ENSG00000137628,0.9489827,0.051017284,4,
POLDIP3,ENSG00000100227,0.9490166,0.05098345,22,
CT45A7,ENSG00000273696,0.94907707,0.05092295,X,
CT45A5,ENSG00000228836,0.94907707,0.05092295,X,
CT45A6,ENSG00000278289,0.94907707,0.05092295,X,
MAP3K7CL,ENSG00000156265,0.94912636,0.050873615,21,
WIPI2,ENSG00000157954,0.9491662,0.05083382,7,
ATRN,ENSG00000088812,0.94918346,0.05081651,20,
RCAN2,ENSG00000172348,0.94920325,0.050796755,6,
MMD,ENSG00000108960,0.9492355,0.0507645,17,
HDX,ENSG00000165259,0.9492825,0.050717495,X,
SPATA9,ENSG00000145757,0.9492837,0.05071626,5,
SEMA6C,ENSG00000143434,0.9493235,0.050676532,1,
VAPA,ENSG00000101558,0.94934726,0.050652746,18,
PTMS,ENSG00000159335,0.94935703,0.050642937,12,
FAM83G,ENSG00000188522,0.94937354,0.050626434,17,
PMS1,ENSG00000064933,0.94938135,0.050618652,2,
FGD3,ENSG00000127084,0.94946057,0.050539415,9,
CANX,ENSG00000127022,0.94956106,0.050438933,5,
PEX19,ENSG00000162735,0.94975865,0.050241377,1,
KIAA0232,ENSG00000170871,0.94976133,0.050238647,4,1.0
JMY,ENSG00000152409,0.94983566,0.050164364,5,
HOXA11,ENSG00000005073,0.94990146,0.050098542,7,
SLC17A7,ENSG00000104888,0.9500053,0.049994737,19,
TADA1,ENSG00000152382,0.9500157,0.049984284,1,
VWA8,ENSG00000102763,0.9500175,0.049982473,13,
ALX4,ENSG00000052850,0.9500513,0.04994867,11,
GMCL2,ENSG00000244234,0.95007247,0.04992754,5,
RAB32,ENSG00000118508,0.95014995,0.04985007,6,
NPM1,ENSG00000181163,0.9502101,0.04978989,5,
RGS21,ENSG00000253148,0.9503042,0.049695782,1,
TECPR2,ENSG00000196663,0.95031726,0.04968274,14,
COPS6,ENSG00000168090,0.9503256,0.049674414,7,
DBR1,ENSG00000138231,0.95034325,0.049656756,3,
DNAL4,ENSG00000100246,0.95035434,0.04964569,22,
WSB1,ENSG00000109046,0.9504046,0.049595438,17,
FBXL7,ENSG00000183580,0.9505694,0.049430624,5,
ANO8,ENSG00000074855,0.9505888,0.049411148,19,
PCDHB7,ENSG00000113212,0.95067704,0.049322944,5,
NCAPH,ENSG00000121152,0.95068073,0.04931924,2,
HMGN3,ENSG00000118418,0.9507038,0.049296185,6,
SUB1,ENSG00000113387,0.9507714,0.04922862,5,
NUP62CL,ENSG00000198088,0.95091856,0.049081467,X,
CAMK1,ENSG00000134072,0.9509481,0.04905187,3,
CWC15,ENSG00000150316,0.9510054,0.048994616,11,
GAS8,ENSG00000141013,0.95109737,0.048902605,16,
TRPV5,ENSG00000127412,0.95115423,0.048845783,7,
ASB15,ENSG00000146809,0.9511992,0.048800796,7,
FURIN,ENSG00000140564,0.9512277,0.048772268,15,
NUP160,ENSG00000030066,0.95124924,0.04875075,11,
ZNF646,ENSG00000167395,0.9512967,0.04870334,16,
KIF19,ENSG00000196169,0.9513237,0.048676297,17,
PCDHB12,ENSG00000120328,0.9513855,0.048614528,5,
BCCIP,ENSG00000107949,0.95139647,0.048603535,10,
AKAP1,ENSG00000121057,0.95142835,0.048571654,17,
CCDC88A,ENSG00000115355,0.95143145,0.048568558,2,
PRR5,ENSG00000186654,0.95144916,0.048550844,22,
STAM,ENSG00000136738,0.9515354,0.04846461,10,
TARBP1,ENSG00000059588,0.95155096,0.048449036,1,
OLIG3,ENSG00000177468,0.951558,0.048442002,6,
DNAJA4,ENSG00000140403,0.9517587,0.048241336,15,
ZC3HC1,ENSG00000091732,0.9517706,0.048229393,7,
RPSA2,ENSG00000288920,0.9518017,0.04819828,19,
WDR13,ENSG00000101940,0.9518083,0.04819175,X,
TMEM255A,ENSG00000125355,0.95184255,0.048157465,X,
STARD10,ENSG00000214530,0.9518498,0.048150174,11,
L3MBTL3,ENSG00000198945,0.95190215,0.048097875,6,
GLUD2,ENSG00000182890,0.95195585,0.048044153,X,
ABCC9,ENSG00000069431,0.95209986,0.04790014,12,
EXOSC2,ENSG00000130713,0.9521606,0.047839418,9,
COPZ1,ENSG00000111481,0.95221066,0.04778932,12,
OTUB1,ENSG00000167770,0.95221436,0.04778562,11,
ACACA,ENSG00000278540,0.9523084,0.047691554,17,
BCL7C,ENSG00000099385,0.95235336,0.047646634,16,
INTS15,ENSG00000146576,0.95235664,0.047643337,7,
IDI1,ENSG00000067064,0.9523796,0.04762042,10,
SPAG6,ENSG00000077327,0.9523816,0.04761842,10,
HEPH,ENSG00000089472,0.952446,0.04755404,X,
POU1F1,ENSG00000064835,0.9524544,0.047545597,3,
SCAMP5,ENSG00000198794,0.95248693,0.04751304,15,
EIF2B4,ENSG00000115211,0.9525016,0.047498383,2,
SLC45A2,ENSG00000164175,0.9525095,0.047490466,5,
PSMG2,ENSG00000128789,0.9525504,0.047449574,18,
PCLAF,ENSG00000166803,0.95258325,0.047416728,15,
WDR33,ENSG00000136709,0.9526391,0.04736089,2,
BAIAP2L2,ENSG00000128298,0.95269984,0.047300182,22,
TVP23C,ENSG00000175106,0.95271724,0.04728274,17,
ARMCX3,ENSG00000102401,0.95272875,0.04727128,X,
LRRTM1,ENSG00000162951,0.95275253,0.04724749,2,
SLC27A4,ENSG00000167114,0.95275515,0.04724482,9,2.0
RHEBL1,ENSG00000167550,0.95285326,0.047146764,12,
MNAT1,ENSG00000020426,0.95289564,0.047104347,14,
SYAP1,ENSG00000169895,0.9529056,0.047094394,X,2.0
SDR42E2,ENSG00000183921,0.9529278,0.047072165,16,
DIAPH3,ENSG00000139734,0.95300466,0.046995353,13,
FIGNL1,ENSG00000132436,0.9530146,0.04698538,7,
KIAA1671,ENSG00000197077,0.95308787,0.046912123,22,
TARS1,ENSG00000113407,0.95310915,0.046890862,5,
RAD23A,ENSG00000179262,0.9531174,0.046882637,19,
BEND6,ENSG00000151917,0.95312446,0.04687554,6,
ATP13A3,ENSG00000133657,0.9531425,0.0468575,3,
AP5Z1,ENSG00000242802,0.9531453,0.046854667,7,
CRYBB2,ENSG00000244752,0.9531715,0.04682848,22,
CPT1A,ENSG00000110090,0.95320195,0.046798065,11,
CYP4F12,ENSG00000186204,0.95320606,0.046793938,19,
MAP3K19,ENSG00000176601,0.95322233,0.04677764,2,
ERI1,ENSG00000104626,0.9532492,0.04675079,8,
MIF4GD,ENSG00000125457,0.95326144,0.046738554,17,
FLT4,ENSG00000037280,0.95329916,0.046700828,5,
FGFR1OP2,ENSG00000111790,0.95330304,0.046696976,12,
PPID,ENSG00000171497,0.95331407,0.04668595,4,
ARHGEF35,ENSG00000213214,0.95331925,0.046680726,7,
KLHL30,ENSG00000168427,0.9533461,0.0466539,2,
TBX4,ENSG00000121075,0.95336115,0.04663887,17,
GON7,ENSG00000170270,0.9533855,0.046614546,14,
CORO2B,ENSG00000103647,0.9534961,0.04650392,15,
LRCH3,ENSG00000186001,0.95349944,0.046500552,3,
IGDCC3,ENSG00000174498,0.9535103,0.046489727,15,
ETNK1,ENSG00000139163,0.95362747,0.04637252,12,
RASGEF1C,ENSG00000146090,0.9537046,0.04629543,5,
SCAP,ENSG00000114650,0.9537134,0.04628661,3,
GAS7,ENSG00000007237,0.9537264,0.04627358,17,
EIF1AY,ENSG00000198692,0.95374566,0.04625436,Y,
CDK7,ENSG00000134058,0.95376635,0.046233684,5,
FAM13C,ENSG00000148541,0.9538173,0.04618268,10,
GABRE,ENSG00000102287,0.95383114,0.046168853,X,
RPS6KC1,ENSG00000136643,0.95386404,0.046135943,1,
SLC24A1,ENSG00000074621,0.9538647,0.046135277,15,
